| date | open | last | high | low | volume | amount | exchange |
| 2021-09-06 | 3175.88 | 3211.20 | 3228.95 | 3166.62 | 45755313 | 124124426240 | 0.28 |
| 2021-09-07 | 3210.27 | 3248.05 | 3259.92 | 3192.02 | 46185446 | 106266038272 | 0.29 |
| 2021-09-08 | 3241.00 | 3213.26 | 3254.10 | 3203.28 | 42063100 | 100152057856 | 0.26 |
| 2021-09-09 | 3195.99 | 3204.28 | 3208.63 | 3183.21 | 52355072 | 100706226176 | 0.32 |
| 2021-09-10 | 3203.06 | 3252.32 | 3268.73 | 3201.74 | 61465349 | 127873392640 | 0.38 |
| 2021-09-13 | 3246.86 | 3242.04 | 3271.10 | 3222.22 | 51461737 | 115847176192 | 0.32 |
| 2021-09-14 | 3243.68 | 3188.26 | 3257.62 | 3182.20 | 56925568 | 114505875456 | 0.35 |
| 2021-09-15 | 3180.55 | 3146.63 | 3180.55 | 3130.97 | 42821339 | 95115448320 | 0.27 |
| 2021-09-16 | 3145.44 | 3128.59 | 3157.90 | 3113.04 | 45526374 | 98193985536 | 0.28 |
| 2021-09-17 | 3117.93 | 3161.92 | 3162.05 | 3110.03 | 40028694 | 93805309952 | 0.25 |
| 2021-09-22 | 3100.39 | 3122.34 | 3129.78 | 3096.03 | 40581640 | 80978358272 | 0.25 |
| 2021-09-23 | 3135.75 | 3127.82 | 3159.97 | 3116.56 | 37797740 | 84987191296 | 0.23 |
| 2021-09-24 | 3120.43 | 3145.11 | 3173.05 | 3120.43 | 35382733 | 93509685248 | 0.22 |
| 2021-09-27 | 3162.43 | 3199.97 | 3218.88 | 3162.43 | 42293473 | 120661643264 | 0.26 |
| 2021-09-28 | 3197.04 | 3211.15 | 3224.57 | 3173.85 | 38105903 | 84585291776 | 0.24 |
| 2021-09-29 | 3186.12 | 3199.23 | 3222.28 | 3160.39 | 40812165 | 85329534976 | 0.25 |
| 2021-09-30 | 3202.02 | 3196.99 | 3213.56 | 3189.18 | 29698160 | 73844961280 | 0.18 |
| 2021-10-08 | 3229.07 | 3256.26 | 3263.93 | 3215.56 | 38923108 | 105047465984 | 0.24 |
| 2021-10-11 | 3264.72 | 3276.41 | 3318.15 | 3263.16 | 38422532 | 95035076608 | 0.24 |
| 2021-10-12 | 3266.02 | 3259.38 | 3280.06 | 3232.32 | 34983371 | 81094815744 | 0.22 |
| 2021-10-13 | 3257.40 | 3292.76 | 3307.23 | 3243.61 | 28778537 | 78683320320 | 0.18 |
| 2021-10-14 | 3289.98 | 3270.69 | 3301.91 | 3264.25 | 24111632 | 63778174464 | 0.15 |
| 2021-10-15 | 3258.57 | 3294.83 | 3301.15 | 3251.10 | 32619203 | 80569856000 | 0.20 |
| 2021-10-18 | 3289.32 | 3229.63 | 3289.32 | 3213.24 | 32433512 | 88584335360 | 0.20 |
| 2021-10-19 | 3227.01 | 3256.67 | 3265.51 | 3226.07 | 29127225 | 80170176512 | 0.18 |
| 2021-10-20 | 3264.47 | 3255.00 | 3282.57 | 3242.10 | 27584823 | 76961873920 | 0.17 |
| 2021-10-21 | 3256.61 | 3278.54 | 3294.05 | 3253.57 | 31306807 | 80653500416 | 0.19 |
| 2021-10-22 | 3287.93 | 3318.13 | 3336.73 | 3282.88 | 31297662 | 82354712576 | 0.19 |
| 2021-10-25 | 3295.25 | 3312.30 | 3316.57 | 3284.89 | 28346014 | 78967148544 | 0.18 |
| 2021-10-26 | 3312.30 | 3290.04 | 3327.66 | 3285.23 | 25983454 | 70015062016 | 0.16 |
| 2021-10-27 | 3282.26 | 3247.10 | 3282.26 | 3236.15 | 28044936 | 74466500608 | 0.17 |
| 2021-10-28 | 3240.54 | 3239.61 | 3252.73 | 3223.72 | 29924020 | 82682437632 | 0.19 |
| 2021-10-29 | 3241.91 | 3267.25 | 3267.25 | 3239.08 | 34774751 | 112865619968 | 0.22 |
| 2021-11-01 | 3239.89 | 3250.92 | 3262.49 | 3223.87 | 33431443 | 103293960192 | 0.21 |
| 2021-11-02 | 3245.04 | 3212.03 | 3267.76 | 3187.35 | 39744123 | 113771085824 | 0.25 |
| 2021-11-03 | 3207.74 | 3181.45 | 3220.34 | 3173.33 | 27260387 | 86124220416 | 0.17 |
| 2021-11-04 | 3194.47 | 3207.26 | 3216.23 | 3187.95 | 26635008 | 85388668928 | 0.17 |
| 2021-11-05 | 3197.61 | 3201.55 | 3229.97 | 3189.68 | 26449688 | 79645794304 | 0.16 |
| 2021-11-08 | 3198.69 | 3196.27 | 3214.33 | 3185.94 | 25773103 | 72409456640 | 0.16 |
| 2021-11-09 | 3206.29 | 3186.96 | 3214.89 | 3172.09 | 23635068 | 70903287808 | 0.15 |
| 2021-11-10 | 3177.61 | 3170.40 | 3182.26 | 3125.29 | 30851773 | 87500521472 | 0.19 |
| 2021-11-11 | 3169.01 | 3233.37 | 3233.59 | 3164.94 | 38061822 | 94025019392 | 0.24 |
| 2021-11-12 | 3239.35 | 3220.55 | 3241.13 | 3213.75 | 25764312 | 67566360320 | 0.16 |
| 2021-11-15 | 3228.02 | 3221.69 | 3241.92 | 3209.48 | 22204240 | 65744966144 | 0.14 |
| 2021-11-16 | 3222.51 | 3222.17 | 3243.45 | 3212.21 | 24241403 | 71548198912 | 0.15 |
| 2021-11-17 | 3217.10 | 3208.78 | 3226.11 | 3202.56 | 19800824 | 59776231936 | 0.12 |
| 2021-11-18 | 3199.21 | 3173.38 | 3199.21 | 3164.70 | 20042182 | 57447229952 | 0.12 |
| 2021-11-19 | 3170.79 | 3212.91 | 3217.82 | 3168.30 | 25709578 | 66031330304 | 0.16 |
| 2021-11-22 | 3217.33 | 3212.15 | 3228.29 | 3209.42 | 26257286 | 77758722048 | 0.16 |
| 2021-11-23 | 3206.94 | 3224.15 | 3237.65 | 3206.43 | 26481812 | 75921743872 | 0.16 |
| 2021-11-24 | 3226.02 | 3231.84 | 3247.78 | 3214.09 | 23210253 | 75120283648 | 0.14 |
| 2021-11-25 | 3233.26 | 3218.05 | 3236.26 | 3212.73 | 21010526 | 69084176384 | 0.13 |
| 2021-11-26 | 3213.63 | 3187.36 | 3214.05 | 3181.14 | 23036568 | 65474273792 | 0.14 |
| 2021-11-29 | 3170.69 | 3187.05 | 3188.11 | 3163.96 | 27180793 | 77384945664 | 0.17 |
| 2021-11-30 | 3186.25 | 3165.35 | 3196.04 | 3153.63 | 23419282 | 65049777664 | 0.15 |
| 2021-12-01 | 3166.61 | 3180.42 | 3182.38 | 3165.70 | 25004135 | 70578360320 | 0.15 |
| 2021-12-02 | 3179.99 | 3190.87 | 3198.03 | 3169.02 | 27417737 | 72571924480 | 0.17 |
| 2021-12-03 | 3191.17 | 3221.42 | 3221.42 | 3191.17 | 27269079 | 86537207808 | 0.17 |
| 2021-12-06 | 3234.43 | 3228.14 | 3257.19 | 3223.21 | 35412743 | 92818440192 | 0.22 |
| 2021-12-07 | 3255.56 | 3254.50 | 3262.08 | 3237.16 | 37783743 | 92537335808 | 0.23 |
| 2021-12-08 | 3263.26 | 3304.71 | 3306.97 | 3247.33 | 32746658 | 94746329088 | 0.20 |
| 2021-12-09 | 3312.33 | 3360.18 | 3393.16 | 3309.95 | 42556313 | 119308181504 | 0.26 |
| 2021-12-10 | 3339.24 | 3353.63 | 3353.63 | 3332.99 | 39390678 | 96470044672 | 0.24 |
| 2021-12-13 | 3391.62 | 3366.07 | 3428.74 | 3363.69 | 39748705 | 117272649728 | 0.25 |
| 2021-12-14 | 3353.03 | 3350.50 | 3364.52 | 3342.12 | 31469833 | 83756118016 | 0.19 |
| 2021-12-15 | 3340.75 | 3318.98 | 3359.67 | 3318.41 | 24821807 | 69106741248 | 0.15 |
| 2021-12-16 | 3312.70 | 3330.86 | 3330.86 | 3304.53 | 25337358 | 76775714816 | 0.16 |
| 2021-12-17 | 3321.67 | 3278.90 | 3330.23 | 3278.12 | 26333767 | 80561225728 | 0.16 |
| 2021-12-20 | 3264.10 | 3255.35 | 3294.13 | 3247.30 | 27848485 | 74088923136 | 0.17 |
| 2021-12-21 | 3253.29 | 3273.03 | 3277.37 | 3251.96 | 24536741 | 60773735936 | 0.15 |
| 2021-12-22 | 3280.69 | 3260.57 | 3287.76 | 3257.01 | 22342857 | 57344382464 | 0.14 |
| 2021-12-23 | 3265.71 | 3287.19 | 3287.19 | 3246.24 | 21417726 | 58960283648 | 0.13 |
| 2021-12-24 | 3293.30 | 3290.24 | 3306.91 | 3278.20 | 21806184 | 69008556032 | 0.14 |
| 2021-12-27 | 3286.11 | 3278.44 | 3291.98 | 3264.02 | 19675636 | 60256738048 | 0.12 |
